email_body,response,company_name,job_description,email_intention
"Dear Michael,

We are thrilled to offer you the position of Sales Representative at LMN Corp. Your strong sales background and exceptional interpersonal skills make you the perfect candidate for this role.

We are offering a competitive salary of $70,000 per year, along with an attractive commission structure and a comprehensive benefits package that includes health, dental, and vision insurance, and a 401(k) plan with a company match. In addition, you will have access to a company car, expense account, and training programs.

We are confident that you will excel in this role and make a significant contribution to our sales team. Please let us know if you have any questions or concerns, and we look forward to hearing back from you soon.

Please confirm your acceptance by March 20th.

Best regards,

Jane Smith
Director of Sales
LMN Corp.

Example 3: Human Resources Manager

Subject: Offer for Human Resources Manager at PQR Corporation
","
company_name: PQR Corporation
job_description: Human Resources Manager
email_intention_description: Offer_Position",PQR Corporation,Human Resources Manager,Offer_Position
"Dear Samantha,

We are delighted to offer you the position of Human Resources Manager at PQR Corporation. We were impressed with your extensive experience and qualifications, as well as your excellent communication and problem-solving skills.

We are offering a competitive salary of $95,000 per year, along with a comprehensive benefits package that includes health, dental, and vision insurance, and a 401(k) plan with a company match. In addition, you will have three weeks of paid vacation per year and opportunities for professional development.

We are confident that you will be a valuable asset to our company, and we look forward to working with you. Please let us know if you have any questions or concerns.

Please confirm your acceptance by March 20th.

Sincerely,

John Smith
CEO
PQR Corporation
","
company_name: PQR Corporation
job_description: Human Resources Manager
email_intention_description: Offer_Position",PQR Corporation,Human Resources Manager,Offer_Position
"Dear John,

We are pleased to offer you the position of Marketing Manager at ABC Company. After careful consideration of your qualifications, experience, and interview performance, we believe that you would be a great addition to our team.

As discussed during the interview, the position comes with a salary of $85,000 per year, along with health, dental, and vision insurance, a 401(k) plan with a company match, and three weeks of paid vacation per year. Additionally, you will be eligible for our employee stock purchase plan, which allows you to purchase company stock at a discounted rate.

We are looking forward to having you join us and contribute to the growth of our company. If you accept this offer, please confirm your acceptance by March 20th to ensure a smooth onboarding process.

Once again, congratulations on your offer, and we are excited to have you join our team. We believe that you will make a positive impact on our organization and thrive in this role.

Please don’t hesitate to contact me if you have any questions or concerns.

Best regards,

Jane Smith
HR Manager
ABC Company
","
company_name: ABC Company
job_description: Marketing Manager
email_intention_description: Offer_Position",ABC Company,Marketing Manager,Offer_Position
"Hi Johan Sebastian,
Thank you for taking the time to apply to the role at Media.Monks in .  We understand how time consuming applying and interviewing for jobs can be, and we can’t thank you enough for your interest!
Unfortunately, I'm sorry to inform you that we have stopped considering candidates for this position. We'd like to keep your application so we can reach out to you later on, should another position become available that is still a match. 
Thank you for understanding and with kindest regards,
Nikita
","
company_name: Media.Monks
job_description: none
email_intention_description: Rejection",Media.Monks,none,Rejection
"Hello Johan Sebastian ! 
 
Thank you for applying to become an Entry-Level Software Engineer at _nology, with training starting on May 29th, 2023. We are really excited to see your application hit our inbox! 

What happens now? 
_nology is on a mission to help more people launch a career in tech, regardless of their background, so we like to get in touch with applicants via an introductory phone call to hear a little more about what made you apply and what your situation is. Don’t worry, this is an informal chat and also gives you the opportunity to ask any burning questions. 
At this time, we’re experiencing an influx of applications, so whilst we always aim to chat with you within 4 weeks of applying. We appreciate your patience and understanding as we work through each application. 

Overview of our Application Stages 
We have three stages that assess skills in communication, problem-solving, teamwork, and aptitude to learn. Upon completion of each stage, a selection of applicants will be invited to progress to the next stage. We regularly check in to see how you are feeling and if you have any questions along the way. 
Here’s what to expect: 
1.	Learning & Logic Challenge – a short problem-solving quiz to complete online
2.	Video interview – a solo interview answering a series of questions, recorded online
3.	Group Assessment – a video call with group activities and tasks to complete together

Helpful info in the meantime 
New to coding? Or need a refresher? Watch this video for an overview of what coding is, and the types of programming languages you'll get to learn in our training too. You'll see that building a website or app requires many different elements and skills that are foundational to becoming a software engineer. 

We’ve attached our FAQs and the training curriculum for you to review too. 
We will be in touch soon! Best wishes, 
the _nology team 
","
company_name: _nology
job_description: Entry-Level Software Engineer
email_intention_description: Further_Action",_nology,Entry-Level Software Engineer,Further_Action
"Hi Johan Sebastian,  

Thanks for you for applying to _nology and it’s great to hear you’re still so enthusiastic about the program. 

We noticed you have recently par-taken in the screening process with us here at _nology. We ask that if people are keen to re-apply, they wait 6 months before doing so, as to undergo the process again immediately is unlikely to have a significantly different outcome. 

It obviously requires a lot of time and effort from both your side and our side to go through these assessments, so we wouldn’t want to waste your time; and given the volume of applications we have come through, we need to be fair to everyone applying, and give others a chance to work through it for this intake. 

In terms of feedback, we score each part of the assessment process and tally the total scores once they’re all done, and unfortunately, you didn’t meet the pass criteria overall. 
Hopefully that gives you a clearer picture, and definitely do please reach out to us again towards the middle of next year if you’re still keen to! 

Thanks,  
the _nology team 
","
company_name: _nology
job_description: none
email_intention_description: rejection",_nology,none,rejection
"Dear Johan, 


We have received your application for the position of Graduate Program 2023/24 - Sydney-9281 and are currently reviewing your experience and qualifications. 
 
If you would like to review your candidate file, please visit https://ejov.fa.ca2.oraclecloud.com:443/hcmUI/CandidateExperience/s/AxKnhGuKRV.


If your profile corresponds to our requirements, a member of our Talent Acquisition team will contact you soon. 
 
We thank you for your interest in GHD. 


Thank you, 

Global Talent Acquisition Team 
GHD 
","
company_name: GHD
job_description: Graduate Program 2023/24 - Sydney-9281
email_intention_description: Further_Action",GHD,Graduate Program 2023/24 - Sydney-9281,Further_Action
"Hi Johan Sebastian
Thank you for applying to the Junior Software Engineer (SCADA) position at SICE ANZ.
Our hiring team is currently reviewing all applications and we are planning to schedule interviews in the next two weeks. If you are among shorlisted candidates, one of our HR team members will be in touch to schedule an initial call. In any case, we will keep you posted on the status of your application.
Thank you again for your interest in working with us!
","
company_name: SICE ANZ
job_description: Junior Software Engineer (SCADA)
email_intention_description: Further_Action",SICE ANZ,Junior Software Engineer (SCADA),Further_Action
"Hi Johan Sebastian, 
Thanks for your interest in NBCUniversal. We really appreciate the time you have taken to share your details with us. You have successfully submitted an application to the following job:?Data Analyst.
Our Recruiters will review your information and will contact you directly if your skills and experience match the requirements of the position you’ve applied to. You can check the status of your application at any time by visiting the Candidate Zone on nbcunicareers.com.
Please note, your information will be stored in our database for Recruiters to consider?for any future openings that may align with your experience. If you prefer to not have your details on file, you can delete your account at any time. 
We wish you the best in finding a career opportunity that is both challenging and rewarding. Here you can create the extraordinary. 
?NBCUniversal Talent
","
company_name: nbcuniversal
job_description: data analyst
email_intention_description: further_action",nbcuniversal,data analyst,further_action
"Dear Johan Sebastian
Thank you for your application for the recently advertised position of ICT Project Officer at Port Macquarie-Hastings Council
We have considered your application, experience and suitability for the position carefully and regret to inform you that your application has not been successful at reaching the next stage of the recruitment process.
In determining the shortlist, applicants were assessed against:
• the essential requirements for the role;
• the desirable requirements for the role; and
• other applicants who applied for the role
We received an overwhelming response and number of applications for this role and therefore on this occasion we will not be providing individual feedback.
Thank you for your interest in this position, we would like to welcome and encourage you to continue to visit our website and also to sign up for our job alerts for future opportunities. We wish you well in your future career.
Kind Regards,
People & Culture Team
Port Macquarie-Hastings Council
PO Box 84
PORT MACQUARIE NSW 2444
(02) 6581 8111
(02) 6581 8032 (Fax)
email:  jobs@pmhc.nsw.gov.au

","
company_name: port macquarie-hastings council
job_description: ict project officer
email_intention_description: rejection",port macquarie-hastings council,ict project officer,rejection
